municipality,year,reference_period,value
Guldborgsund,2022,2022Q1,60310
Guldborgsund,2024,2024M01,59759
Guldborgsund,2026,2026M02,59023
Haderslev,2007,2008Q1,56414
Haderslev,2011,2011Q1,56117
Haderslev,2015,2015Q1,55888
Haderslev,2019,2019Q1,55857
Haderslev,2022,2022Q1,55340
Haderslev,2024,2024M01,55438
Haderslev,2026,2026M02,55207
Halsnæs,2007,2008Q1,30824
Halsnæs,2011,2011Q1,31056
Halsnæs,2015,2015Q1,30736
Halsnæs,2019,2019Q1,31271
Halsnæs,2022,2022Q1,31344
Halsnæs,2024,2024M01,31515
Halsnæs,2026,2026M02,31690
Hedensted,2007,2008Q1,45561
Hedensted,2011,2011Q1,45980
Hedensted,2015,2015Q1,46091
Hedensted,2019,2019Q1,46747
Hedensted,2022,2022Q1,47099
Hedensted,2024,2024M01,47725
Hedensted,2026,2026M02,48631
Helsingør,2007,2008Q1,60844
Helsingør,2011,2011Q1,61368
Helsingør,2015,2015Q1,61632
Helsingør,2019,2019Q1,62567
Helsingør,2022,2022Q1,62875
Helsingør,2024,2024M01,63838
Helsingør,2026,2026M02,64321
Herlev,2007,2008Q1,26567
Herlev,2011,2011Q1,26597
Herlev,2015,2015Q1,28148
Herlev,2019,2019Q1,28786
Herlev,2022,2022Q1,28867
Herlev,2024,2024M01,29876
Herlev,2026,2026M02,32119
Herning,2007,2008Q1,84208
Herning,2011,2011Q1,85852
Herning,2015,2015Q1,86864
Herning,2019,2019Q1,88917
Herning,2022,2022Q1,89230
Herning,2024,2024M01,89848
Herning,2026,2026M02,90595
Hillerød,2007,2008Q1,46568
Hillerød,2011,2011Q1,47916
Hillerød,2015,2015Q1,49108
Hillerød,2019,2019Q1,50998
Hillerød,2022,2022Q1,53257
Hillerød,2024,2024M01,54422
Hillerød,2026,2026M02,55246
Hjørring,2007,2008Q1,67121
Hjørring,2011,2011Q1,66473
Hjørring,2015,2015Q1,65295
Hjørring,2019,2019Q1,64665
Hjørring,2022,2022Q1,63839
Hjørring,2024,2024M01,63544
Hjørring,2026,2026M02,62967
Holbæk,2007,2008Q1,69010
Holbæk,2011,2011Q1,69521
Holbæk,2015,2015Q1,69035
Holbæk,2019,2019Q1,71297
Holbæk,2022,2022Q1,72810
Holbæk,2024,2024M01,74129
Holbæk,2026,2026M02,75065
Holstebro,2007,2008Q1,57020
Holstebro,2011,2011Q1,57161
Holstebro,2015,2015Q1,57494
Holstebro,2019,2019Q1,58504
Holstebro,2022,2022Q1,58553
Holstebro,2024,2024M01,59016
Holstebro,2026,2026M02,59386
Horsens,2007,2008Q1,80102
Horsens,2011,2011Q1,82835
Horsens,2015,2015Q1,86361
Horsens,2019,2019Q1,90370
Horsens,2022,2022Q1,94443
Horsens,2024,2024M01,97392
Horsens,2026,2026M02,98776
Hvidovre,2007,2008Q1,49380
Hvidovre,2011,2011Q1,50081
Hvidovre,2015,2015Q1,52380
Hvidovre,2019,2019Q1,53416
Hvidovre,2022,2022Q1,53267
Hvidovre,2024,2024M01,53760
Hvidovre,2026,2026M02,54210
Høje-Taastrup,2007,2008Q1,47158
Høje-Taastrup,2011,2011Q1,47753
Høje-Taastrup,2015,2015Q1,49230
Høje-Taastrup,2019,2019Q1,50686
Høje-Taastrup,2022,2022Q1,53053
Høje-Taastrup,2024,2024M01,57540
Høje-Taastrup,2026,2026M02,60531
Hørsholm,2007,2008Q1,24197
Hørsholm,2011,2011Q1,24415
Hørsholm,2015,2015Q1,24856
Hørsholm,2019,2019Q1,25007
Hørsholm,2022,2022Q1,24761
Hørsholm,2024,2024M01,24811
Hørsholm,2026,2026M02,25344
Ikast-Brande,2007,2008Q1,39893
Ikast-Brande,2011,2011Q1,40571
Ikast-Brande,2015,2015Q1,40598
Ikast-Brande,2019,2019Q1,41282
Ikast-Brande,2022,2022Q1,41885
Ikast-Brande,2024,2024M01,42737
Ikast-Brande,2026,2026M02,43267
Ishøj,2007,2008Q1,20687
Ishøj,2011,2011Q1,20797
Ishøj,2015,2015Q1,22025
Ishøj,2019,2019Q1,22946
Ishøj,2022,2022Q1,23225
Ishøj,2024,2024M01,23663
Ishøj,2026,2026M02,24757
Jammerbugt,2007,2008Q1,38957
Jammerbugt,2011,2011Q1,38733
Jammerbugt,2015,2015Q1,38293
Jammerbugt,2019,2019Q1,38460
Jammerbugt,2022,2022Q1,38187
Jammerbugt,2024,2024M01,38234
Jammerbugt,2026,2026M02,37964
Kalundborg,2007,2008Q1,49743
Kalundborg,2011,2011Q1,49088
Kalundborg,2015,2015Q1,48469
Kalundborg,2019,2019Q1,48681
Kalundborg,2022,2022Q1,48368
Kalundborg,2024,2024M01,48309
Kalundborg,2026,2026M02,47924
Kerteminde,2007,2008Q1,23630
Kerteminde,2011,2011Q1,23758
Kerteminde,2015,2015Q1,23728
Kerteminde,2019,2019Q1,23773
Kerteminde,2022,2022Q1,24034
Kerteminde,2024,2024M01,23894
Kerteminde,2026,2026M02,24255
Kolding,2007,2008Q1,87781
Kolding,2011,2011Q1,89210
Kolding,2015,2015Q1,90794
Kolding,2019,2019Q1,92893
Kolding,2022,2022Q1,93544
Kolding,2024,2024M01,94932
Kolding,2026,2026M02,96299
Køge,2007,2008Q1,56637
Køge,2011,2011Q1,57271
Køge,2015,2015Q1,59285
Køge,2019,2019Q1,60675
Køge,2022,2022Q1,61718
Køge,2024,2024M01,62848
Køge,2026,2026M02,64010
Langeland,2007,2008Q1,13741
Langeland,2011,2011Q1,13322
Langeland,2015,2015Q1,12647
Langeland,2019,2019Q1,12560
Langeland,2022,2022Q1,12316
Langeland,2024,2024M01,12260
Langeland,2026,2026M02,11810
Lejre,2007,2008Q1,26603
Lejre,2011,2011Q1,26764
Lejre,2015,2015Q1,27172
Lejre,2019,2019Q1,27775
Lejre,2022,2022Q1,28623
Lejre,2024,2024M01,29347
Lejre,2026,2026M02,29906
Lemvig,2007,2008Q1,22067
Lemvig,2011,2011Q1,21554
Lemvig,2015,2015Q1,20657
Lemvig,2019,2019Q1,19998
Lemvig,2022,2022Q1,19398
Lemvig,2024,2024M01,19110
Lemvig,2026,2026M02,18557
Lolland,2007,2008Q1,48219
Lolland,2011,2011Q1,46111
Lolland,2015,2015Q1,43024
Lolland,2019,2019Q1,41615
Lolland,2022,2022Q1,40107
Lolland,2024,2024M01,39632
Lolland,2026,2026M02,38531
Lyngby-Taarbæk,2007,2008Q1,51449
Lyngby-Taarbæk,2011,2011Q1,52754
Lyngby-Taarbæk,2015,2015Q1,54778
Lyngby-Taarbæk,2019,2019Q1,55790
Lyngby-Taarbæk,2022,2022Q1,57826
Lyngby-Taarbæk,2024,2024M01,58538
Lyngby-Taarbæk,2026,2026M02,58711
Læsø,2007,2008Q1,2003
Læsø,2011,2011Q1,1949
Læsø,2015,2015Q1,1795
Læsø,2019,2019Q1,1806
Læsø,2022,2022Q1,1769
Læsø,2024,2024M01,1759
Læsø,2026,2026M02,1678
Mariagerfjord,2007,2008Q1,42667
Mariagerfjord,2011,2011Q1,42572
