municipality,year,value
Helsingør,2015,22.1
Herlev,2015,18.2
Herning,2015,17.9
Hillerød,2015,18.1
Hjørring,2015,21.3
Holbæk,2015,19.2
Holstebro,2015,18.8
Horsens,2015,17.2
Hvidovre,2015,16.9
Høje-Taastrup,2015,16.8
Hørsholm,2015,26.4
Ikast-Brande,2015,18.6
Ishøj,2015,15.3
Jammerbugt,2015,21.8
Kalundborg,2015,22.0
Kerteminde,2015,23.0
Kolding,2015,17.7
Køge,2015,18.9
Langeland,2015,31.3
Lejre,2015,20.6
Lemvig,2015,23.1
Lolland,2015,27.0
Lyngby-Taarbæk,2015,19.6
Læsø,2015,35.0
Mariagerfjord,2015,20.3
Middelfart,2015,21.3
Morsø,2015,23.6
Norddjurs,2015,22.2
Nordfyns,2015,20.9
Nyborg,2015,22.4
Næstved,2015,19.8
Odder,2015,20.9
Odense,2015,16.5
Odsherred,2015,27.8
Randers,2015,19.2
Rebild,2015,18.5
Ringkøbing-Skjern,2015,20.5
Ringsted,2015,17.2
Roskilde,2015,18.7
Rudersdal,2015,22.4
Rødovre,2015,18.7
Samsø,2015,31.5
Silkeborg,2015,18.1
Skanderborg,2015,16.7
Skive,2015,21.2
Slagelse,2015,20.4
Solrød,2015,18.7
Sorø,2015,19.7
Stevns,2015,23.2
Struer,2015,22.4
Svendborg,2015,21.5
Syddjurs,2015,22.8
Sønderborg,2015,22.6
Thisted,2015,21.3
Tårnby,2015,18.4
Tønder,2015,22.4
Vallensbæk,2015,18.6
Varde,2015,20.3
Vejen,2015,19.6
Vejle,2015,18.1
Vesthimmerlands,2015,21.3
Viborg,2015,18.3
Vordingborg,2015,24.5
Ærø,2015,33.6
Aabenraa,2019,23.1
Aalborg,2019,17.8
Aarhus,2019,14.6
Albertslund,2019,18.1
Allerød,2019,20.5
Assens,2019,22.8
Ballerup,2019,20.7
Billund,2019,20.7
Bornholm,2019,29.0
Brøndby,2019,19.2
Brønderslev,2019,21.9
Copenhagen,2019,10.3
Dragør,2019,24.4
Egedal,2019,18.7
Esbjerg,2019,20.4
Faaborg-Midtfyn,2019,23.9
Fanø,2019,34.0
Favrskov,2019,18.6
Faxe,2019,22.0
Fredensborg,2019,22.7
Fredericia,2019,20.6
