municipality,year,value
Holbæk,1990,89909
Holstebro,1990,87180
Horsens,1990,86395
Hvidovre,1990,93217
Høje-Taastrup,1990,97241
Hørsholm,1990,127455
Ikast-Brande,1990,86520
Ishøj,1990,93570
Jammerbugt,1990,83431
Kalundborg,1990,89457
Kerteminde,1990,89124
Kolding,1990,88470
Køge,1990,94786
Langeland,1990,80736
Lejre,1990,101012
Lemvig,1990,85702
Lolland,1990,82521
Lyngby-Taarbæk,1990,109204
Læsø,1990,79709
Mariagerfjord,1990,83335
Middelfart,1990,87763
Morsø,1990,82314
Norddjurs,1990,86555
Nordfyns,1990,84751
Nyborg,1990,86370
Næstved,1990,89477
Odder,1990,89540
Odense,1990,85950
Odsherred,1990,86891
Randers,1990,84811
Rebild,1990,86209
Ringkøbing-Skjern,1990,87748
Ringsted,1990,91727
Roskilde,1990,98918
Rudersdal,1990,122673
Rødovre,1990,93807
Samsø,1990,79231
Silkeborg,1990,89949
Skanderborg,1990,90661
Skive,1990,85329
Slagelse,1990,89261
Solrød,1990,106434
Sorø,1990,88016
Stevns,1990,92954
Struer,1990,86086
Svendborg,1990,85636
Syddjurs,1990,87664
Sønderborg,1990,88084
Thisted,1990,82983
Tårnby,1990,98313
Tønder,1990,86020
Vallensbæk,1990,107743
Varde,1990,87871
Vejen,1990,84674
Vejle,1990,88629
Vesthimmerlands,1990,80984
Viborg,1990,86830
Vordingborg,1990,85573
Ærø,1990,82200
Aabenraa,1991,91991
Aalborg,1991,91307
Aarhus,1991,93087
Albertslund,1991,96601
Allerød,1991,116246
Assens,1991,89612
Ballerup,1991,99607
Billund,1991,95069
Bornholm,1991,87867
Brøndby,1991,97360
Brønderslev,1991,87123
Copenhagen,1991,87445
Dragør,1991,115203
Egedal,1991,110415
Esbjerg,1991,94814
Faaborg-Midtfyn,1991,90107
Fanø,1991,100540
Favrskov,1991,94503
Faxe,1991,93835
Fredensborg,1991,108883
Fredericia,1991,93648
Frederiksberg,1991,101730
Frederikshavn,1991,90886
Frederikssund,1991,101186
Furesø,1991,116422
Gentofte,1991,126128
Gladsaxe,1991,98385
Glostrup,1991,99381
Greve,1991,108530
Gribskov,1991,102240
Guldborgsund,1991,89177
Haderslev,1991,90458
Halsnæs,1991,95709
Hedensted,1991,93519
Helsingør,1991,99359
Herlev,1991,99781
Herning,1991,94101
Hillerød,1991,106357
Hjørring,1991,89815
Holbæk,1991,93761
Holstebro,1991,91841
Horsens,1991,91479
Hvidovre,1991,96407
Høje-Taastrup,1991,100429
Hørsholm,1991,132161
Ikast-Brande,1991,92943
Ishøj,1991,96662
Jammerbugt,1991,88065
Kalundborg,1991,93728
Kerteminde,1991,93750
Kolding,1991,92727
Køge,1991,99316
Langeland,1991,84427
Lejre,1991,105531
Lemvig,1991,90826
Lolland,1991,86441
Lyngby-Taarbæk,1991,112578
Læsø,1991,86145
Mariagerfjord,1991,88426
Middelfart,1991,91781
Morsø,1991,87029
Norddjurs,1991,89631
Nordfyns,1991,90214
Nyborg,1991,90995
Næstved,1991,93855
Odder,1991,94800
Odense,1991,89836
Odsherred,1991,91513
Randers,1991,89053
Rebild,1991,90967
Ringkøbing-Skjern,1991,92674
Ringsted,1991,95770
Roskilde,1991,103073
Rudersdal,1991,127194
Rødovre,1991,96964
Samsø,1991,83873
Silkeborg,1991,95365
Skanderborg,1991,95395
Skive,1991,89602
Slagelse,1991,92624
Solrød,1991,111504
Sorø,1991,92404
Stevns,1991,97979
Struer,1991,90508
Svendborg,1991,90022
Syddjurs,1991,92090
Sønderborg,1991,91864
Thisted,1991,88203
Tårnby,1991,101982
Tønder,1991,90952
Vallensbæk,1991,112428
Varde,1991,93162
Vejen,1991,90134
Vejle,1991,92685
Vesthimmerlands,1991,85753
Viborg,1991,91531
Vordingborg,1991,89935
Ærø,1991,87618
Aabenraa,1992,95734
Aalborg,1992,93776
Aarhus,1992,96069
Albertslund,1992,99553
Allerød,1992,119486
Assens,1992,92028
Ballerup,1992,102596
Billund,1992,99278
Bornholm,1992,89864
Brøndby,1992,99990
Brønderslev,1992,90006
Copenhagen,1992,89913
Dragør,1992,117473
Egedal,1992,112779
Esbjerg,1992,96818
Faaborg-Midtfyn,1992,93564
Fanø,1992,104012
Favrskov,1992,97655
Faxe,1992,96599
Fredensborg,1992,111606
Fredericia,1992,97217
Frederiksberg,1992,104476
Frederikshavn,1992,94188
Frederikssund,1992,104013
Furesø,1992,121468
Gentofte,1992,130053
Gladsaxe,1992,101632
Glostrup,1992,102730
Greve,1992,110734
Gribskov,1992,104552
Guldborgsund,1992,91482
Haderslev,1992,94661
Halsnæs,1992,98097
Hedensted,1992,97176
Helsingør,1992,102182
Herlev,1992,101630
Herning,1992,97033
Hillerød,1992,108263
Hjørring,1992,93175
Holbæk,1992,97340
Holstebro,1992,95008
Horsens,1992,94701
Hvidovre,1992,99161
Høje-Taastrup,1992,103720
Hørsholm,1992,133207
Ikast-Brande,1992,95658
Ishøj,1992,99234
Jammerbugt,1992,91150
Kalundborg,1992,97130
Kerteminde,1992,97425
Kolding,1992,96318
Køge,1992,101773
Langeland,1992,87667
Lejre,1992,109909
Lemvig,1992,93183
Lolland,1992,88281
Lyngby-Taarbæk,1992,116895
Læsø,1992,88509
Mariagerfjord,1992,91246
Middelfart,1992,95159
Morsø,1992,90597
Norddjurs,1992,92724
Nordfyns,1992,93013
Nyborg,1992,93817
Næstved,1992,95865
Odder,1992,98794
Odense,1992,92383
Odsherred,1992,94688
Randers,1992,91981
Rebild,1992,94188
Ringkøbing-Skjern,1992,94810
Ringsted,1992,97789
Roskilde,1992,106188
Rudersdal,1992,132939
Rødovre,1992,100161
Samsø,1992,86879
Silkeborg,1992,97893
Skanderborg,1992,99825
Skive,1992,92492
Slagelse,1992,95298
Solrød,1992,112592
Sorø,1992,94806
Stevns,1992,100512
Struer,1992,93976
Svendborg,1992,93241
Syddjurs,1992,95568
Sønderborg,1992,96524
Thisted,1992,91453
Tårnby,1992,104841
Tønder,1992,94112
Vallensbæk,1992,116254
Varde,1992,96455
Vejen,1992,93524
Vejle,1992,97055
Vesthimmerlands,1992,89643
Viborg,1992,94395
Vordingborg,1992,92171
Ærø,1992,91730
Aabenraa,1993,99072
Aalborg,1993,96710
Aarhus,1993,98974
Albertslund,1993,102212
Allerød,1993,123618
Assens,1993,94739
Ballerup,1993,105856
Billund,1993,105279
Bornholm,1993,93151
Brøndby,1993,101606
Brønderslev,1993,92793
Copenhagen,1993,92242
Dragør,1993,122416
Egedal,1993,116548
Esbjerg,1993,100355
Faaborg-Midtfyn,1993,96460
Fanø,1993,107256
Favrskov,1993,100604
Faxe,1993,99727
Fredensborg,1993,114942
Fredericia,1993,100147
Frederiksberg,1993,108892
Frederikshavn,1993,97353
Frederikssund,1993,107035
Furesø,1993,120237
Gentofte,1993,135270
Gladsaxe,1993,104543
Glostrup,1993,104674
Greve,1993,114647
Gribskov,1993,107443
Guldborgsund,1993,94705
Haderslev,1993,98231
Halsnæs,1993,100334
Hedensted,1993,100169
Helsingør,1993,105203
Herlev,1993,104458
Herning,1993,99862
Hillerød,1993,111531
Hjørring,1993,96029
Holbæk,1993,100032
Holstebro,1993,98602
Horsens,1993,97509
Hvidovre,1993,101883
Høje-Taastrup,1993,106009
Hørsholm,1993,151919
Ikast-Brande,1993,98989
Ishøj,1993,100698
Jammerbugt,1993,94522
Kalundborg,1993,100054
Kerteminde,1993,99665
Kolding,1993,99842
Køge,1993,104825
Langeland,1993,90236
Lejre,1993,113982
Lemvig,1993,95364
Lolland,1993,90725
Lyngby-Taarbæk,1993,122664
Læsø,1993,88936
Mariagerfjord,1993,94092
Middelfart,1993,98352
Morsø,1993,93881
Norddjurs,1993,95221
Nordfyns,1993,95839
Nyborg,1993,95977
Næstved,1993,98887
Odder,1993,100681
