municipality,year,value
Mariagerfjord,2022,25.7
Middelfart,2022,31.8
Morsø,2022,19.9
Norddjurs,2022,20.7
Nordfyns,2022,24.8
Nyborg,2022,27.6
Næstved,2022,27.4
Odder,2022,34.0
Odense,2022,39.5
Odsherred,2022,22.1
Randers,2022,28.1
Rebild,2022,34.6
Ringkøbing-Skjern,2022,24.2
Ringsted,2022,28.7
Roskilde,2022,40.1
Rudersdal,2022,54.6
Rødovre,2022,36.4
Samsø,2022,30.6
Silkeborg,2022,36.1
Skanderborg,2022,41.5
Skive,2022,24.6
Slagelse,2022,26.1
Solrød,2022,35.1
Sorø,2022,29.8
Stevns,2022,26.3
Struer,2022,24.7
Svendborg,2022,33.2
Syddjurs,2022,32.8
Sønderborg,2022,30.2
Thisted,2022,23.3
Tårnby,2022,30.3
Tønder,2022,21.6
Vallensbæk,2022,38.5
Varde,2022,25.3
Vejen,2022,23.6
Vejle,2022,34.7
Vesthimmerlands,2022,22.3
Viborg,2022,30.3
Vordingborg,2022,27.2
Ærø,2022,30.0
